groupName,customereducationalqualification,spouseeducationalqualification,familymemberscount,age,everDefault,everNPA,groupSize,maxRelCatProp,casteSimilarityProp,occupationHomogeneity,ownAsset,maritalStatus,ownHouse,farmerCategory,totalLand,min_age,max_age,var_age,dif_age,avg_expenditure,min_familymemberscount,max_familymemberscount,avg_familymemberscount,var_familymemberscount,dif_familymemberscount,log_minTotalAssets,logMaxAssets,logAvgAssets,avg_totalLand,var_totalLand,ownAssetProp,marriedProp,ownHouseProp,landFarmerProp,branchNameLC1,categoryLC1,districtnameLC1,villagetypeLC1,villagetypeLC2,"('category', 'GEN')","('category', 'OBC')","('category', 'SC')","('category', 'ST')",logIncome,logExpend,casteHomogeneity
A KATAPALI C1 G1,0.857142857,1.5,4.714285714,43.14285714,0.142857143,0.142857143,7,100,0.71428573,100,1,0.857142857,1,0.571428571,1.714285714,31,48,35.142857,17,2500,2,7,4.7142859,3.5714285,5,4.698970004,5.176091259,4.97444588,1.7142857,1.2380952,1,0.85714287,1,0.5714286,16,2,5.285714286,5,0,0,0,1,0,9.0118895,7.8240461,0
A KATAPALI C2 G1,1.333333333,1.8,4.166666667,38.5,0,0,6,100,1,50,1,0.833333333,1,0.333333333,0.833333333,27,51,69.900009,24,2500,3,5,4.1666665,0.9666667,2,4.176091259,5.041392685,4.865301442,0.83333331,0.9666667,1,0.83333331,1,0.33333334,16,2,23,5,0,0,0,1,0,9.0118895,7.8240461,1
A KATAPALI C3 G1,1.5,1.666666667,4.25,33.5,0,0,4,100,1,25,1,0.75,1,0.333333333,2.75,23,42,81.666672,19,2500,3,7,4.25,3.5833335,4,5,5.301029996,5.096910013,2.75,9.583334,1,0.75,1,0.25,16,2,15.75,5,0,0,0,1,0,9.0118895,7.8240461,1
AAVKAR SOCIETY C1 G1,3,0,0,40.33333333,0,0,5,40,0.80000001,60,1,1,1,0,0,33,53,121.33334,20,2000,0,0,0,0,0,0,4.954242509,4.77815125,0,0,0.60000002,1,0.60000002,0,26,1.8,26,5,0,0.6,0.4,0,0,8.5171928,7.6009026,0
ABALOUVA C2 G1,1,0.142857143,6.142857143,31.71428571,0,0,7,57.142857,0.14285715,100,1,1,1,0,0,25,37,18.57143,12,4142.8569,4,9,6.1428571,2.8095238,5,5.544068044,5.544068044,5.544068044,0,0,1,1,1,0,21,2.142857143,6.714285714,5,0,0.142857143,0.285714286,0.571428571,0,8.9871969,8.2940493,0
ABANKELA C1 G1,0.75,2,4,39,0,0,4,100,1,50,0,0.5,1,0.25,1.25,29,53,101.99999,24,3000,3,5,4,1.3333333,2,5.217483944,5.217483944,5.217483944,1.25,0.25,0,0.5,1,0.25,1,5,21.5,5,0,0,0,0,1,8.9871969,8.0063677,1
ABANKELA C5 G1,1.285714286,2.142857143,3.714285714,35.14285714,0,0,7,85.714287,0.42857143,71.428574,0,1,1,1,2,22,46,62.14286,24,3000,3,4,3.7142856,0.23809522,1,5.217483944,5.217483944,5.217483944,2,0,0,1,1,1,1,5,11.85714286,3.285714286,0.857142857,0,0,0,1,8.9871969,8.0063677,0
ABANKELA C6 G1,1.666666667,2.333333333,4.166666667,33.83333333,0,0,6,100,0.5,100,0,1,1,0.333333333,0.666666667,29,44,32.166668,15,3000,4,5,4.1666665,0.16666667,1,5.217483944,5.217483944,5.217483944,0.66666669,1.0666666,0,1,1,0.33333334,1,5,22.66666667,5,0,0,0,0,1,8.9871969,8.0063677,0
ABHOL C1 G1,0.25,0,3.75,43.5,0,0,4,100,0.5,75,0,1,1,0,0,40,46,9,6,4000,3,4,3.75,0.25,1,4.079181246,5.079181246,4.968482949,0,0,0,1,1,0,36,3,29.5,5,0,0,1,0,0,9.0240107,8.2940493,0
ABHOL C3 G1,0.75,0,4.75,40,0,0,4,100,0.75,75,0,1,1,0,0,34,52,71.999992,18,4000,3,6,4.75,1.5833335,3,5.079181246,5.079181246,5.079181246,0,0,0,1,1,0,36,3,1,1,3,0,1,0,0,9.0240107,8.2940493,0
ABVEL C2 G1,0.5,0,4,29.25,0,0,4,100,0.5,100,0,1,1,1,2.50000005,24,41,62.916664,17,3600,4,4,4,0,0,5.217483944,6.095169351,5.755874856,2.5,4.8600011,0,1,1,1,2,3,17.75,5,0,0,1,0,0,9.0240107,8.1886892,0
ABVEL C4 G1,1,0,4,44.25,0,0,4,100,0.75,100,0,1,1,0,17.68249925,29,52,112.91666,23,3600,4,4,4,0,0,5.848189117,6.822168079,6.390714373,17.682499,1223.2513,0,1,1,0,2,3,22,5,0,0,1,0,0,9.0240107,8.1886892,0
ADAS C12 G1,0,0,7,33.16666667,0,0,6,66.666664,0.83333331,50,1,1,1,0,0,28,48,68.166664,20,2000,5,9,7,3.6000001,4,4.903089987,5.021189299,4.966141733,0,0,1,1,1,0,26,1,27.16666667,3,1,1,0,0,0,8.2940493,7.6009026,0
ADAS C13 G1,0.833333333,0,5,37.83333333,0,0,6,83.333336,0.16666667,83.333336,1,1,1,0,0,26,46,47.366669,20,2000,5,5,5,0,0,4.903089987,5.916453949,5.510768346,0,0,1,1,1,0,26,1.666666667,21.83333333,5,0,0.833333333,0,0,0.166666667,8.2940493,7.6009026,0
ADAS C14 G1,1.166666667,0,5,43.57142857,0,0,7,42.857143,0.14285715,42.857143,0.833333333,0.857142857,1,0,0,32,52,67.619057,20,2000,5,5,5,0,0,3.903089987,4.903089987,4.832508913,0,0,0.71428573,0.85714287,0.85714287,0,26,4.428571429,26,2.333333333,2,0,0.285714286,0,0.714285714,8.2940493,7.6009026,0
ADAS C15 G1,0,0,5.25,31,0,0,4,75,0.75,100,1,1,1,0,0,22,40,70.666672,18,2000,5,6,5.25,0.25,1,4.903089987,4.903089987,4.903089987,0,0,1,1,1,0,26,1.5,28.5,5,0,0.75,0.25,0,0,8.2940493,7.6009026,0
ADAS C17 G1,0,0,5,38.4,0,0,5,60,0.80000001,60,1,0.8,1,0,0,30,53,76.300003,23,2000,5,5,5,0,0,4.903089987,5.903089987,5.643452676,0,0,0.40000001,0.80000001,0.40000001,0,26,1.8,25.5,5,0,0.6,0.4,0,0,8.2940493,7.6009026,0
ADAS C18 G1,0,1,5,36.75,0,0,4,100,1,50,1,1,1,0,0,32,39,10.916667,7,2000,5,5,5,0,0,4.903089987,5.903089987,5.643452676,0,0,1,1,1,0,26,1,18,5,0,1,0,0,0,8.2940493,7.6009026,1
ADAS C2 G1,0.25,0.25,5.75,30.25,0,0,4,50,0.75,75,1,1,1,0,0,22,41,62.916664,19,2000,3,9,5.75,7.583334,6,4.903089987,5.255272505,5.04630002,0,0,1,1,1,0,26,2,26,5,0,0.5,0.5,0,0,8.2940493,7.6009026,0
ADAS C2 G2,0,0,4.5,31.66666667,0.333333333,0.333333333,6,66.666664,0.16666667,66.666664,1,0.833333333,1,0,0,21,45,85.466675,24,2000,4,6,4.5,0.69999999,2,3.903089987,5.021189299,4.85833663,0,0,1,0.83333331,1,0,26,1.666666667,26,5,0,0.666666667,0.333333333,0,0,8.2940493,7.6009026,0
ADAS C20 G1,0,0.25,5.375,37.5,0,0,8,62.5,0.125,87.5,1,1,1,0,0,29,48,40.857143,19,2000,5,8,5.375,1.1249999,3,3.903089987,5.903089987,5.206825876,0,0,1,1,1,0,26,2.25,21.75,5,0,0.375,0.625,0,0,8.2940493,7.6009026,0
ADAS C21 G1,0,0,5,33.25,0,0,8,75,0.125,62.5,1,1,1,0,0,24,40,24.5,16,2000,5,5,5,0,0,4.903089987,4.944482672,4.908485019,0,0,1,1,1,0,26,1.75,18.875,5,0,0.75,0.125,0,0.125,8.2940493,7.6009026,0
ADAS C22 G1,0,0,5,39.2,0,0,5,60,0.2,60,1,0.8,1,0,0,31,46,29.699999,15,2000,5,5,5,0,0,4.903089987,4.903133414,4.903098684,0,0,1,0.80000001,1,0,26,1.8,33,5,0,0.6,0.4,0,0,8.2940493,7.6009026,0
ADAS C23 G1,0.142857143,0,5.571428571,38,0.285714286,0,7,85.714287,0.5714286,42.857143,1,0.714285714,1,0,0,20,51,101.33334,31,2000,5,9,5.5714288,2.2857141,4,4.903089987,4.903089987,4.903089987,0,0,1,0.71428573,1,0,26,1.285714286,31,5,0,0.857142857,0.142857143,0,0,8.2940493,7.6009026,0
ADAS C24 G1,0,0,5.166666667,37,0.166666667,0,6,50,0.66666669,100,1,0.666666667,1,0,0,27,43,44.399998,16,2014.6666,5,6,5.1666665,0.16666667,1,4.903089987,4.903567448,4.903169586,0,0,1,0.66666669,1,0,26,2.666666667,12,5,0,0.5,0.166666667,0,0.333333333,8.2940493,7.6009026,0
ADAS C25 G1,0,0.4,5,33,0,0,5,60,0.60000002,80,1,1,1,0,0,23,43,95.500008,20,2000,5,5,5,0,0,4.903089987,5.903092701,5.350249957,0,0,1,1,1,0,26,1.8,18,5,0,0.6,0.4,0,0,8.2940493,7.6009026,0
ADAS C26 G1,1,1.75,5,34,0,0,4,100,1,50,1,1,1,0,0,23,41,60.000004,18,2500,5,5,5,0,0,4.079181246,6.079181246,5.559906625,0,0,1,1,1,0,26,1,12,5,0,1,0,0,0,8.8536654,7.8240461,1
ADAS C27 G2,0,0.75,5,37.2,0,0,5,40,0.80000001,20,1,0.8,1,0,0,31,42,24.200001,11,2000,5,5,5,0,0,4.903089987,4.903089987,4.903089987,0,0,1,0.80000001,1,0,26,2.2,17,5,0,0.4,0.6,0,0,8.2940493,7.6009026,0
ADAS C29 G1,0,0,5,38.75,0,0,8,62.5,0.75,50,1,0.875,1,0,0,28,52,80.214279,24,2000,5,5,5,0,0,4.903089987,4.903089987,4.903089987,0,0,1,0.875,1,0,26,2.5,11,5,0,0.25,0.75,0,0,8.2940493,7.6009026,0
ADAS C3 G1,0.166666667,0.166666667,4.166666667,33.66666667,0.333333333,0,6,83.333336,1,83.333336,1,1,1,0,0,22,43,50.26667,21,2000,3,5,4.1666665,0.5666666,2,5.021189299,5.041392685,5.024622502,0,0,1,1,1,0,26,1.333333333,17.66666667,5,0,0.833333333,0.166666667,0,0,8.2940493,7.6009026,0
ADAS C30 G1,0,0.142857143,5.875,39.125,0,0,8,75,0.75,50,1,0.875,1,0,0,26,51,81.553574,25,2001,5,9,5.875,2.6964285,4,3.903089987,4.903089987,4.792391689,0,0,1,0.875,1,0,26,1.5,33,5,0,0.75,0.25,0,0,8.2940493,7.6009026,0
ADAS C31 G1,0,0,6.333333333,30.5,0,0,6,100,1,66.666664,1,1,1,0,0,21,42,75.5,21,2000,5,9,6.3333335,4.2666664,4,4.903089987,4.903089987,4.903089987,0,0,1,1,1,0,26,1,19,1,2.666666667,1,0,0,0,8.2940493,7.6009026,1
ADAS C32 G1,0,0.25,7.25,34.5,0,0,4,50,1,50,1,1,1,0,0,19,47,166.33333,28,2000,5,8,7.25,2.25,3,4.903089987,4.903089987,4.903089987,0,0,1,1,1,0,26,1.5,18,5,0,0.75,0.25,0,0,8.2940493,7.6009026,0
ADAS C33 G1,0,0.25,5.6,38.8,0,0,5,40,0.2,40,1,0.8,1,0,0,25,51,89.699997,26,2000,5,8,5.5999999,1.8000001,3,4.903089987,4.903089987,4.903089987,0,0,1,0.80000001,1,0,26,3.4,12,5,0,0.2,0.4,0,0.4,8.2940493,7.6009026,0
ADAS C4 G2,0,0,4.571428571,38.28571429,0,0,7,57.142857,0.2857143,57.142857,1,1,1,0,0,33,51,42.238094,18,2000,3,7,4.5714288,2.2857141,4,4.903089987,5.021189299,4.990592523,0,0,1,1,1,0,26,2.142857143,23.85714286,5,0,0.571428571,0.285714286,0,0.142857143,8.2940493,7.6009026,0
ADAS C6 G1,1,1,5,38.4,0,0,5,80,0.2,100,1,1,1,0,0,29,45,38.299999,16,2500,4,6,5,0.49999997,2,4.079181246,6.079181246,5.497482537,0,0,1,1,1,0,26,1.4,21,5,0,0.8,0.2,0,0,8.8536654,7.8240461,0
ADAS C7 G1,0,0,3.5,42.75,0,0,5,40,1,40,1,1,1,0,0,36,48,28.916666,12,2000,2,6,3.5,3.6666665,4,4.903089987,4.903089987,4.903089987,0,0,0.80000001,1,0.80000001,0,26,2.2,33,5,0,0.6,0.2,0,0.2,8.2940493,7.6009026,0
ADAS C8 G1,0,0.142857143,5.571428571,34.14285714,0.142857143,0,7,28.571428,0.2857143,85.714287,1,1,1,0,0,25,45,55.476192,20,2000,4,8,5.5714288,1.6190476,4,4.903089987,5.021189299,5.006160303,0,0,1,1,1,0,26,3,1,5,0,0.428571429,0.142857143,0,0.428571429,8.2940493,7.6009026,0
ADAS C9 G1,0.75,1.5,5,39.2,0,0,5,100,0.60000002,60,1,1,1,0,0,31,45,35.199997,14,2500,5,5,5,0,0,4.079181246,6.079181246,5.80140371,0,0,0.80000001,1,0.80000001,0,26,1,22.25,5,0,1,0,0,0,8.8536654,7.8240461,0
ADRUJ C1 G1,1,0,0,29.25,0,0,4,75,0.25,100,1,1,1,0,0.75,24,36,24.916666,12,2087.5,0,0,0,0,0,4.875061263,4.903089987,4.886490725,0.75,0.083333328,1,1,1,0,8,3.5,33,5,0,0,0.75,0,0.25,8.9457183,7.6496925,0
ADWALA C1 G1,0,0,6,38,0.111111111,0.111111111,9,66.666664,0.22222222,100,0,0.777777778,1,0,0,26,50,76.499992,24,4000,5,8,6,0.75,3,5.079181246,5.079181246,5.079181246,0,0,0,0.77777779,1,0,36,3,20.66666667,5,0,0,1,0,0,9.0240107,8.2940493,0
AGAS C6 G1,0.428571429,1.285714286,4.714285714,33.71428571,0.142857143,0,7,100,0.5714286,57.142857,1,1,1,0,0,22,48,77.571434,26,2010.7142,4,5,4.7142859,0.23809522,1,4.875061263,4.880813592,4.876712556,0,0,1,1,1,0,8,3,24.28571429,3.285714286,0.857142857,0,1,0,0,8.942461,7.6009026,0
AGAS C9 G1,1,0,0,31.4,0.2,0,5,100,0.80000001,100,1,1,1,0,0.1,19,42,103.3,23,2060,0,0,0,0,0,4.883661435,4.900367129,4.890421019,0.1,0.049999997,1,1,1,0,8,3,26,5,0,0,1,0,0,8.942461,7.6255951,0
AHIMA C3 G1,0,0,6.5,35.25,0,0,4,75,1,75,1,1,1,0,1,29,41,24.25,12,4375,4,8,6.5,3,4,5.618048097,5.966141733,5.785329835,1,0,1,1,1,0,26,1,13.5,5,0,1,0,0,0,9.0240107,8.4118328,0
AINLABHATA C1 G1,1.25,1,4.125,33.75,0,0,8,75,0.75,62.5,1,0.875,1,0,0.037500001,27,50,67.642853,23,3062.5,3,6,4.125,0.6964286,3,4.84509804,4.84509804,4.84509804,0.037500001,0.01125,1,0.875,1,0,23,2.75,22.5,1,2,0,0.75,0.25,0,8.8536654,8.0063677,0
AINLABHATA C2 G1,1,1,4.428571429,36.28571429,0,0,7,100,0.5714286,42.857143,1,0.857142857,1,0,0,26,50,102.90476,24,3428.5715,3,7,4.4285712,2.2857141,4,4.643452676,4.903089987,4.839747333,0,0,1,0.85714287,1,0,23,3,22.42857143,5,0,0,1,0,0,8.9871969,8.1605186,0
AINLABHATA C3 G1,1.5,2,4.75,42.5,0,0,8,87.5,0.625,50,1,0.5,1,0,0,26,53,113.14285,27,3000,4,7,4.75,1.0714285,3,4.531478917,4.903089987,4.832508913,0,0,1,0.5,1,0,23,2.875,13,2,1.5,0,0.875,0.125,0,8.8536654,8.0063677,0
AINLABHATA C4 G1,1,1,4,35.66666667,0,0,6,100,0.66666669,33.333332,1,0.666666667,1,0,0,26,54,114.66666,28,3000,3,5,4,0.40000001,2,4.531478917,4.84509804,4.770852012,0,0,0.83333331,0.66666669,1,0,23,3,1,5,0,0,1,0,0,8.8536654,8.0063677,0
AINLABHATA C5 G1,1,0.888888889,4.666666667,33.66666667,0,0,9,66.666664,0.55555558,66.666664,1,1,1,0,0,25,48,75.5,23,3000,3,6,4.6666665,1,3,4.84509804,4.84509804,4.84509804,0,0,1,1,1,0,23,2.777777778,11.66666667,2.777777778,1.111111111,0,0.777777778,0.222222222,0,8.8536654,8.0063677,0
AINLABHATA C6 G1,1,1,3.777777778,35.66666667,0,0,9,88.888885,0.55555558,44.444443,1,0.888888889,1,0,0,26,55,109.25,29,3000,3,5,3.7777777,0.69444442,2,4.84509804,4.84509804,4.84509804,0,0,1,0.8888889,1,0,23,3.222222222,33,5,0,0,0.888888889,0,0.111111111,8.8536654,8.0063677,0
AINLABHATA C7 G1,1,1,4,35,0,0,4,100,0.75,50,1,1,1,0,0,27,43,75.333336,16,3250,3,5,4,0.66666669,2,4.84509804,4.903089987,4.860338007,0,0,1,1,1,0,23,3,19,5,0,0,1,0,0,8.9871969,8.08344315,0
AINLABHATA C8 G1,1,1.666666667,3.833333333,37.83333333,0,0,6,66.666664,0.66666669,83.333336,1,1,1,0,0,30,52,68.166664,22,3000,3,5,3.8333333,0.5666666,2,4.643452676,4.903089987,4.828230132,0,0,1,1,1,0,23,2.833333333,13.5,5,0,0,0.833333333,0.166666667,0,8.9871969,8.0063677,0
AINLAPALI C1 G1,1.285714286,2.428571429,3.571428571,33.14285714,0.142857143,0,7,85.714287,0.5714286,42.857143,1,1,1,0.857142857,2.428571429,20,55,161.80952,35,1800,2,5,3.5714285,0.9523809,3,5.176091259,5.301029996,5.196294653,2.4285715,0.9523809,1,1,1,0.85714287,32,2.142857143,22.28571429,5,0,0,0.142857143,0.857142857,0,8.9871969,7.495542,0
AINLAPALI C2 G1,2,2.6,4.125,41.875,0,0,8,62.5,0.5,50,1,0.625,1,0.875,2.25,33,54,58.410713,21,3262.5,4,5,4.125,0.12499999,1,4.602059991,4.991226076,4.834102656,2.25,1.3571429,0.5,0.625,1,0.875,17,3.125,27.375,5,0,0,0,0.625,0.375,9.0179501,8.0590477,0
AINLAPOSHI C1 G1,1.5,2,4,42.5,0,0,4,75,0.75,75,1,1,1,0,1,38,47,21.666666,9,3875,4,4,4,0,0,5.079181246,5.113943352,5.092545208,1,0,1,1,1,0,34,4.25,22,5,0,0,0,0.25,0.75,8.9871969,8.2940493,0
AINLAPOSHI C2 G1,2,2.5,4.75,35,0,0,4,100,1,50,1,1,1,0,1,29,41,26.666664,12,4000,4,6,4.75,0.91666663,2,4.819543936,5.113943352,5.037426498,1,0,1,1,1,0,34,5,33,5,0,0,0,0,1,8.9871969,8.2940493,1
AINLASARI 1 C1 G1,1,1,3.5,43.5,0,0,4,100,1,100,1,1,1,1,2.75,33,53,77.666664,20,2075,2,6,3.5,3,4,5.176091259,5.176091259,5.176091259,2.75,2.25,1,1,1,1,10,3,24,5,0,0,1,0,0,8.922658,7.62529755,1
AJARPURA C1 G2,2,2.333333333,3.75,36.5,0,0,8,62.5,0.75,50,1,1,1,0,0,22,51,93.714279,29,1874.75,0,5,3.75,6.25,5,0,5.10720997,4.662757832,0,0,1,1,1,0,26,1.25,26,5,0,0.875,0.125,0,0,8.8536654,7.8240461,0
AJARPURA C7 G2,0.833333333,2,5,35.42857143,0.142857143,0,7,100,0.71428573,85.714287,1,1,1,0,0,24,52,150.95239,28,2500,5,5,5,0,0,4.176091259,6.079181246,5.915135907,0,0,0.85714287,1,0.85714287,0,26,1,21,5,0,1,0,0,0,8.8536654,7.8240461,0
AJARPURA C8 G1,1,2.142857143,5,37.42857143,0,0,7,57.142857,0.5714286,71.428574,1,1,1,0,0,29,50,53.285713,21,2500.1428,5,5,5,0,0,4.079181246,6.079181246,5.413060149,0,0,1,1,1,0,26,1.285714286,28.42857143,5,0,0.857142857,0.142857143,0,0,8.8536654,7.8240461,0
AJAWA ROAD C1 G1,1.285714286,0,4.571428571,38.28571429,0.142857143,0,7,100,0.42857143,71.428574,0,0.714285714,1,0,0,24,54,146.2381,30,3500,3,6,4.5714288,1.2857141,3,5.447158031,6.387389826,5.769799184,0,0,0,0.71428573,1,0,22,1,24.85714286,4.428571429,0.285714286,1,0,0,0,8.9871969,8.1605186,0
AJAWA ROAD C12 G1,2.2,0,5,43,0.4,0.4,5,80,0.2,100,0,0.8,1,0,0,25,55,144,30,3500,5,5,5,0,0,5.447158031,5.447158031,5.447158031,0,0,0,0.80000001,1,0,22,1,20.2,5,0,1,0,0,0,8.9871969,8.1605186,0
AJAWA ROAD C2 G1,1,0,3.666666667,40,0.5,0.166666667,6,100,0.5,66.666664,0,0.666666667,1,0,0,25,55,113.6,30,3500,2,4,3.6666667,0.66666669,2,5.447158031,5.447158031,5.447158031,0,0,0,0.66666669,1,0,22,1,28.33333333,5,0,1,0,0,0,8.9871969,8.1605186,0
AJAWA ROAD C9 G1,0.857142857,0,5.428571429,36.85714286,0.285714286,0.285714286,7,71.428574,0.14285715,57.142857,0.428571429,0.857142857,1,0,0,28,43,41.476192,15,3285.7144,5,7,5.4285712,0.61904764,2,5.389166084,5.447158031,5.416164819,0,0,0.42857143,0.85714287,1,0,22,1,14.85714286,5,0,1,0,0,0,8.9871969,8.1605186,0
AJIMANA C3 G1,1,1.25,5.25,35.75,0.25,0.25,4,75,0.25,75,1,1,1,0.25,1,28,50,98.916656,22,4375,2,8,5.25,6.25,6,5.544068044,5.954242509,5.702215059,1,4,1,1,1,0.25,21,2.25,19.75,5,0,0,0.25,0.75,0,8.9871969,8.4118328,0
AJIMANA C5 G1,1,0.2,5,38.2,0,0,5,60,0.2,100,1,1,1,0,0,26,49,109.7,23,4000,3,7,5,3.5000002,4,5.544068044,5.544068044,5.544068044,0,0,1,1,1,0,21,1.4,30.2,5,0,0.6,0,0.4,0,8.9871969,8.2940493,0
AJIMANA C5 G2,1,0,5,39.4,0,0,5,80,0.40000001,100,1,1,1,0,0,30,49,68.300003,19,4000,4,7,5,1.9999999,3,5.544068044,5.544068044,5.544068044,0,0,1,1,1,0,21,1.4,28,5,0,0.8,0.2,0,0,8.9871969,8.2940493,0
AKHIDADAR C1 G1,1,0,4.5,44.75,0,0,4,75,0.75,50,1,0.75,1,0.75,1.5,30,53,102.25001,23,2000,4,5,4.5,0.33333331,1,1.698970004,2.701567985,2.21285319,1.5,1,1,0.75,1,0.75,33,2.25,18,5,0,0,0.25,0.75,0,8.6995144,7.6009026,0
AKLACHA C1 G1,1.857142857,1.857142857,4.5,42.125,0.125,0,8,50,0.125,37.5,1,0.875,1,0.25,1.25,30,52,70.696434,22,2187.5,3,7,4.5,1.4285713,4,5.176091259,5.484299839,5.288640406,1.25,4.2142863,1,0.875,1,0.25,19,1,26,3.5,0.75,1,0,0,0,9.0240107,7.6009026,0
AKOTI C1 G1,1,1,4.714285714,41.42857143,0.142857143,0.142857143,7,42.857143,0.14285715,85.714287,0,1,1,0,0,34,54,44.619045,20,2500,3,5,4.7142859,0.57142854,2,4.875061263,4.875061263,4.875061263,0,0,0,1,1,0,7,3.571428571,33,5,0,0,0.285714286,0.285714286,0.428571429,8.9871969,7.8240461,0
AKOTI C2 G1,1,1,4.875,40.25,0,0,8,37.5,0.125,100,0,0.625,1,0,0,23,53,75.928574,30,2500,4,5,4.875,0.12499999,1,4.875061263,4.875061263,4.875061263,0,0,0,0.625,1,0,7,3.375,18,5,0,0.125,0,0.375,0.5,8.9871969,7.8240461,0
AKTESWAR C4 G1,1.25,1,4.5,33.5,0,0,4,75,0.25,75,0,1,1,0,0,24,44,77.666664,20,2400,4,5,4.5,0.33333331,1,4.707570176,4.748188027,4.72427587,0,0,0,1,1,0,17,4.5,33,4,0.5,0,0.25,0,0.75,8.5171928,7.7832241,0
ALAMPUR C1 G1,3,1,4,28.25,0,0,4,100,0.75,100,1,1,1,0,0.1,23,34,36.916668,11,2500,4,4,4,0,0,0,5.176091259,5.051152522,0.1,0,1,1,1,0,2,3,21,1,2,0,1,0,0,8.9871969,7.8240461,0
ALANDU C1 G1,1.571428571,1.285714286,4.142857143,37,0,0,7,85.714287,0.42857143,100,1,1,1,0,0.028571428,29,44,44.333332,15,2500,2,5,4.1428571,1.4761906,3,4.755874856,4.903089987,4.787359257,0.028571429,1.43E-05,1,1,1,0,10,3.285714286,33,5,0,0,0.857142857,0,0.142857143,8.9871969,7.8240461,0
ALIKHERVA C1 G1,1,1,4,39.71428571,1,0,7,57.142857,0.14285715,100,1,0.857142857,1,0,0,28,53,92.571426,25,3500,4,4,4,0,0,6.079181246,6.079181246,6.079181246,0,0,1,0.85714287,1,0,7,1,14.42857143,5,0,1,0,0,0,8.9871969,8.1605186,0
ALIPURA C3 G1,2,2,4.6,42.8,0,0,5,60,0.2,80,0,1,1,0,0.008,30,52,94.700005,22,3500,3,6,4.5999999,1.8000001,3,5.397940009,5.574031268,5.511883361,0.007999999,0.00017,0,1,1,0,21,2.4,1,4.2,0.4,0.2,0.6,0.2,0,8.9871969,8.1605186,0
AMADLA C12 G1,1,1.2,4.333333333,44.66666667,0,0,6,83.333336,0.16666667,100,0,0.833333333,1,0,0,34,51,43.466667,17,2446.6667,2,7,4.3333335,3.4666667,5,4.72427587,4.755874856,4.737311938,0,0,0,0.83333331,1,0,17,4.5,5.666666667,5,0,0,0,0.166666667,0.833333333,8.52709435,7.7997451,0
AMAMUNDA C1 G1,1,1,5,44,0,0,5,80,0.40000001,100,1,0.6,1,0,0,36,53,37.000004,17,3000,3,9,5,5.5,6,4.602233674,4.903089987,4.681357043,0,0,1,0.60000002,1,0,23,3.4,23.6,1,2,0,0.8,0,0.2,8.9871969,8.0063677,0
AMAMUNDA C2 G1,1,1.5,4,40.6,0,0,5,100,0.40000001,100,1,0.8,1,0,0,34,53,60.299999,19,3000,3,5,4,1,2,4.903089987,4.903089987,4.903089987,0,0,1,0.80000001,1,0,23,3,31.8,5,0,0,1,0,0,8.9871969,8.0063677,0
AMAMUNDA C3 G1,1,1,4.5,35.16666667,0,0,6,83.333336,0.5,100,1,1,1,0,0,21,48,113.76668,27,3000,2,6,4.5,1.9,4,4.643452676,4.903089987,4.86923172,0,0,1,1,1,0,23,3.333333333,8,5,0,0,0.833333333,0,0.166666667,8.9871969,8.0063677,0
AMAMUNDA C4 G1,1,0.857142857,4.142857143,35,0,0,7,57.142857,0.71428573,100,1,1,1,0,0,22,53,149.33333,31,3000,3,5,4.1428571,0.80952376,2,4.903089987,5.643452676,5.262111923,0,0,1,1,1,0,23,4.142857143,1,5,0,0,0.428571429,0,0.571428571,8.9871969,8.0063677,0
AMAPARA C1 G1,1,1,4,42.71428571,0,0,7,100,1,85.714287,1,1,1,0.666666667,2.100000003,38,49,11.904762,11,2333.3333,4,4,4,0,0,4.903089987,4.929418926,4.920818768,2.0999999,1.944,0.85714287,1,0.85714287,0.5714286,10,3,33,3,1,0,1,0,0,8.9871969,7.8240461,1
AMATI C2 G1,1.166666667,2.5,4,40.33333333,0,0,6,100,0.66666669,100,1,1,1,1,1.5,24,51,92.266663,27,2783.3333,3,5,4,0.40000001,2,5.167317335,5.283301229,5.202533733,1.5,0,1,1,1,1,34,3,12.66666667,1.666666667,1.666666667,0,1,0,0,9.0240107,7.9373746,0
AMATI C4 G1,1.4,1.4,4.2,35,0,0,5,60,0.40000001,80,1,1,1,1,1.56,26,40,32.5,14,2760,4,5,4.1999998,0.19999999,1,5.158362492,5.167317335,5.164947373,1.5599999,0.017999992,0.80000001,1,1,1,34,3.8,7.8,5,0,0,0.6,0,0.4,9.0240107,8.0063677,0
AMBADAHAN C1 G1,1.833333333,2.333333333,4.5,32,0,0,6,100,0.66666669,33.333332,1,1,1,0.333333333,2,21,42,75.599998,21,1966.6666,3,6,4.5,1.9,3,5.176091259,5.301029996,5.234685983,2,4,1,1,1,0.33333334,32,3,17.66666667,5,0,0,1,0,0,8.9871969,7.6009026,0
AMBADAHAN C2 G1,1.5,1,4,31,0,0,6,100,0.83333331,50,1,1,1,0.5,1.666666667,20,46,90.799995,26,1866.6666,2,7,4,3.1999998,5,5.176091259,5.301029996,5.263241427,1.6666666,0.66666669,1,1,1,0.5,32,3,33,5,0,0,1,0,0,8.95492745,7.495542,0
