groupName,customereducationalqualification,spouseeducationalqualification,familymemberscount,age,everDefault,everNPA,groupSize,maxRelCatProp,casteSimilarityProp,occupationHomogeneity,ownAsset,maritalStatus,ownHouse,farmerCategory,totalLand,min_age,max_age,var_age,dif_age,avg_expenditure,min_familymemberscount,max_familymemberscount,avg_familymemberscount,var_familymemberscount,dif_familymemberscount,log_minTotalAssets,logMaxAssets,logAvgAssets,avg_totalLand,var_totalLand,ownAssetProp,marriedProp,ownHouseProp,landFarmerProp,branchNameLC1,categoryLC1,districtnameLC1,villagetypeLC1,villagetypeLC2,"('category', 'GEN')","('category', 'OBC')","('category', 'SC')","('category', 'ST')",logIncome,logExpend,casteHomogeneity
BARAHAGUDA C3 G1,0.625,0,3.625,43.875,0,0,8,87.5,0.5,100,1,0.5,1,0.875,2.125,32,53,49.55357,21,3500,2,5,3.625,0.83928567,3,5.176091259,5.178401342,5.177247836,2.125,1.8392859,1,0.5,1,0.875,33,3.25,12,5,0,0,0.875,0,0.125,8.9871969,8.1605186,0
BARAMKELA C1 G1,1.428571429,0,4.857142857,38.42857143,0,0,7,100,0.2857143,57.142857,1,0.714285714,1,0.714285714,3.142857143,25,46,46.952385,21,3557.1428,3,7,4.8571429,2.1428573,4,5.06069784,5.079181246,5.064457989,3.1428571,5.1428566,1,0.71428573,1,0.71428573,33,3,15.28571429,3.857142857,0.571428571,0,1,0,0,8.9871969,8.1605186,0
BARAMKELA C2 G1,2,2,4,38.8,0,0,5,80,0.40000001,40,1,0.8,1,0,0.25,30,48,57.700001,18,2875,3,5,4,0.66666669,2,5,5.06069784,5.021189299,0.25,0.25,0.80000001,0.80000001,0.80000001,0,33,2.8,33,5,0,0,0.8,0.2,0,8.9871969,7.9152069,0
BARAMKELA C4 G1,1,2.25,3.4,45,0,0,5,60,1,60,1,0.8,1,0.6,2.2,30,54,86,24,3400,2,5,3.4000001,1.3000001,3,5,5.021189299,5.004321374,2.2,1.2,1,0.80000001,1,0.60000002,33,3.2,14.6,5,0,0,0,0.6,0.4,8.8536654,8.1605186,0
BARAMKELA C5 G1,0.25,1,3.75,41.75,0,0,4,100,0.75,50,1,0.75,1,0.333333333,3.75,34,48,46.916664,14,3125,3,4,3.75,0.25,1,5,5.021189299,5.005395032,3.75,18.249998,1,0.75,1,0.25,33,3,13.75,5,0,0,1,0,0,8.9871969,8.0063677,0
BARAMKELA C7 G1,0.25,0,4.75,41.5,0,0,8,100,0.625,50,1,0.75,1,0.285714286,2.75,28,54,110.28571,26,3000,3,6,4.75,1.0714285,3,4.929418926,5.021189299,5,2.75,11.928571,1,0.75,1,0.25,33,3,27,5,0,0,1,0,0,8.9871969,8.0063677,0
BARAMKELA C8 G1,0.6,0,3.2,36.2,0,0,5,100,0.60000002,60,1,0.6,1,0.6,1.4,25,48,122.2,23,3000,2,4,3.2,0.69999999,2,5,5.021189299,5.008600172,1.4,1.8000001,1,0.60000002,1,0.60000002,33,3,22,4.2,0.4,0,1,0,0,8.9871969,8.0063677,0
BARANGA KACHAR C1 G1,1,1,3.75,34.75,0,0,4,75,0.75,100,0,1,1,1,2.5,28,44,46.250004,16,3625,3,4,3.75,0.25,1,5.352182518,5.352182518,5.352182518,2.5,0.33333331,0,1,1,1,12,5,25,5,0,0,0,0,1,9.0240107,8.1605186,0
BARANGPALI C1 G1,1,2.2,4,41.6,0,0,5,100,0.60000002,80,1,1,1,0.6,1.780000002,31,53,82.799995,22,3500,3,5,4,0.49999997,2,5,5,5,1.78,1.3920001,1,1,1,0.60000002,33,3,1,1,2,0,1,0,0,8.8536654,8.1605186,0
BARANGPALI C2 G1,0.833333333,1.833333333,4.166666667,40.83333333,0,0,6,100,0.5,100,1,1,1,0.333333333,1,31,51,58.566669,20,3500,3,6,4.1666665,1.3666667,3,5,5,5,1,0.79999995,1,1,1,0.33333334,33,3,18,5,0,0,1,0,0,8.8536654,8.1605186,0
BARASIKIA C1 G1,1,1,5.2,32.6,0,0,5,100,0.80000001,100,1,1,1,0,1,28,39,17.300001,11,3000,4,6,5.1999998,0.69999999,2,5,5,5,1,0,1,1,1,0,23,3,5,5,0,0,1,0,0,8.9871969,8.0063677,0
BARGAON 2 C1 G1,0.5,0,4.333333333,34.66666667,0,0,6,66.666664,0.33333334,83.333336,1,0.833333333,1,0.666666667,1.5,25,41,39.066666,16,3000,3,5,4.3333335,0.66666669,2,4.903089987,5,4.985276731,1.5,0.69999999,1,0.83333331,1,0.66666669,33,4.333333333,15.33333333,5,0,0,0.333333333,0,0.666666667,8.9871969,8.0063677,0
BARGAON 2 C2 G1,0.75,0,3.75,39,0,0,4,75,0.75,100,1,1,1,0.5,1.5,34,44,27.333332,10,3000,2,5,3.75,1.5833335,3,5,5,5,1.5,0.33333331,1,1,1,0.5,33,4.5,33,5,0,0,0.25,0,0.75,8.9871969,8.0063677,0
BARGAON C1 G1,1.5,1,3.75,42.75,0,0,4,50,0.5,25,1,0.75,1,0,0.125,35,48,40.916664,13,3625,2,6,3.75,2.9166667,4,5.041392685,5.217483944,5.134336511,0.125,0.0625,1,0.75,1,0,33,3,26,4,0.5,0.25,0.5,0,0.25,8.8536654,8.1605186,0
BARGAON C3 G1,1,1,3.75,35.875,0,0,8,87.5,0.75,100,1,0.875,1,0.375,1.375,23,51,95.553566,28,2750,3,4,3.75,0.21428572,1,5.079181246,5.176091259,5.118099312,1.375,0.26785713,1,0.875,1,0.375,32,2.875,23.625,3,1,0,0.875,0.125,0,8.9871969,7.9152069,0
BARGAON C4 G1,1.5,1.333333333,3.875,45.375,0,0,8,50,0.5,100,1,0.75,1,1,2.875,21,54,148.83929,33,2662.5,3,4,3.875,0.12499999,1,5.243038049,5.311753861,5.270096281,2.875,0.12499999,1,0.75,1,1,33,3.5,17.25,5,0,0.25,0.25,0,0.5,8.9871969,7.9010072,0
BARGAON C5 G1,1,0.666666667,4.4,40.4,0,0,5,100,1,60,1,0.6,1,1,2,28,48,65.299995,20,2640,3,6,4.4000001,2.3,3,5.243038049,5.267171728,5.252853031,2,0,1,0.60000002,1,1,33,2,23.6,4.2,0.4,0,0,1,0,8.9871969,7.9010072,1
BARGARH 2 C1 G1,2.6,3,3.8,36.8,0.2,0,5,80,0.40000001,40,1,1,1,0.2,0.8,28,47,51.700001,19,3500,3,4,3.8,0.19999999,1,5.176091259,5.255272505,5.209515015,0.80000001,0.69999999,1,1,1,0.2,33,2.8,1,5,0,0,0.8,0.2,0,8.9871969,8.1605186,0
BARGARH 2 C3 G1,0.6,0.5,4.4,41,0,0,5,100,0.80000001,80,1,0.4,1,0.8,1.6,21,53,166,32,3600,3,6,4.4000001,1.3000001,3,5.021189299,5.259068012,5.17058318,1.6,0.79999995,0.80000001,0.40000001,1,0.80000001,33,3,19.8,5,0,0,1,0,0,8.9871969,8.1605186,0
BARGARH 3 C1 G1,0.833333333,1,3.5,43.83333333,0,0,6,66.666664,0.33333334,66.666664,1,0.833333333,1,0,0.083333333,31,53,69.766663,22,3500,2,5,3.5,1.0999999,3,5,5,5,0.083333336,0.009666667,1,0.83333331,1,0,33,2.5,17,5,0,0.166666667,0.666666667,0.166666667,0,8.8536654,8.1605186,0
